"iter"	"Krestbody_plasma.1."	"VmaxC.1."	"Km.1."	"QurineC.1."	"Trc.1."	"LnPrior"	"LnData"	"LnPosterior"
95158	0.303475	0.9331	38.6167	32.3428	0.000733874	-167.5093	-4890.689	-5058.198
95159	0.303475	0.9331	38.943	32.3428	0.000733874	-167.44	-4890.939	-5058.379
95160	0.303475	0.9331	39.0129	32.3428	0.000757711	-167.4253	-4891.169	-5058.594
95161	0.303475	0.9331	39.0129	32.3428	0.000757711	-167.4253	-4891.169	-5058.594
95162	0.303475	0.9331	39.0129	32.7569	0.000227992	-167.6332	-4887.226	-5054.859
95163	0.303475	0.9331	39.0129	32.7569	0.000227992	-167.6332	-4887.226	-5054.859
95164	0.303475	0.922388	38.587	32.7569	0.000227992	-163.9324	-4890.843	-5054.775
95165	0.303475	0.922388	38.2138	32.7569	9.54412e-05	-164.013	-4889.56	-5053.573
95166	0.303475	0.922388	38.2138	32.7569	9.54412e-05	-164.013	-4889.56	-5053.573
95167	0.303475	0.922388	38.2138	32.7569	8.17816e-05	-164.013	-4889.413	-5053.426
95168	0.303475	0.918313	38.2138	30.0852	0.000295521	-161.3625	-4893.946	-5055.308
95169	0.303475	0.915785	37.7168	30.7154	0.000221313	-160.8504	-4893.714	-5054.565
95170	0.303475	0.915785	37.7168	30.7154	0.000221313	-160.8504	-4893.714	-5054.565
95171	0.303475	0.915785	37.7168	27.5177	0.000191323	-159.6843	-4895.665	-5055.35
95172	0.303475	0.903724	37.743	27.5177	7.88518e-05	-155.4969	-4899.429	-5054.926
95173	0.303475	0.918803	38.4492	27.5177	0.000382965	-160.579	-4896.392	-5056.971
95174	0.303475	0.918803	39.2971	30.3331	0.000143497	-161.405	-4895.048	-5056.453
95175	0.303475	0.935408	39.2971	30.3331	0.000143497	-167.2775	-4887.589	-5054.866
95176	0.303475	0.935408	37.6867	29.7551	4.93978e-06	-167.3917	-4887.083	-5054.475
95177	0.303475	0.935408	38.5434	37.5417	4.93978e-06	-171.4552	-4882.39	-5053.845
95178	0.303475	0.942336	39.3081	37.5417	8.09395e-05	-173.7764	-4880.937	-5054.713
95179	0.303475	0.942336	39.3081	37.5417	8.37402e-06	-173.7764	-4880.394	-5054.17
95180	0.30221	0.942336	39.3081	37.5417	8.37402e-06	-173.7785	-4880.45	-5054.229
95181	0.30221	0.942336	38.4795	34.6308	8.37402e-06	-172.0804	-4881.392	-5053.472
95182	0.30221	0.942336	39.0878	34.6308	8.37402e-06	-171.9514	-4881.404	-5053.355
95183	0.30221	0.933761	39.1201	34.6308	8.37402e-06	-168.8746	-4884.788	-5053.663
95184	0.30221	0.933761	39.1201	29.2605	8.37402e-06	-166.3085	-4887.661	-5053.97
95185	0.303536	0.933761	38.5162	29.2605	8.37402e-06	-166.4342	-4887.073	-5053.507
95186	0.307102	0.933761	38.5162	30.8797	8.37402e-06	-167.0804	-4886.407	-5053.487
95187	0.307102	0.910336	38.6586	32.6061	8.37402e-06	-159.6244	-4894.617	-5054.241
95188	0.307102	0.910336	38.9323	32.6061	8.37402e-06	-159.5663	-4895.475	-5055.042
95189	0.307102	0.919777	39.071	32.6061	8.37402e-06	-162.8303	-4891.458	-5054.288
95190	0.307102	0.919777	38.2055	32.6061	8.37402e-06	-163.0152	-4890.085	-5053.1
95191	0.307102	0.919777	38.2055	32.6061	8.37402e-06	-163.0152	-4890.085	-5053.1
95192	0.307102	0.89942	38.2055	32.5605	8.37402e-06	-155.9357	-4898.471	-5054.407
95193	0.307102	0.929507	38.2055	32.5605	7.12646e-05	-166.4236	-4887.351	-5053.774
95194	0.297713	0.929507	38.2055	32.5605	6.41036e-05	-166.4395	-4887.096	-5053.535
95195	0.306505	0.929507	39.7558	32.5605	6.41036e-05	-166.0988	-4889.411	-5055.51
95196	0.306505	0.929507	39.4393	33.6926	6.41036e-05	-166.7578	-4887.967	-5054.725
95197	0.306505	0.952343	39.4393	31.479	6.17607e-05	-173.8453	-4880.521	-5054.366
95198	0.306505	0.952343	40.0179	31.479	6.17607e-05	-173.728	-4880.967	-5054.695
95199	0.306505	0.952343	40.0179	31.479	6.17607e-05	-173.728	-4880.967	-5054.695
95200	0.306505	0.972864	39.5466	31.3153	6.17607e-05	-181.2971	-4874.781	-5056.078
95201	0.306505	0.972864	40.7491	31.3153	6.17607e-05	-181.0583	-4874.636	-5055.694
95202	0.306505	0.956915	40.6389	31.3153	6.17607e-05	-175.1984	-4880.487	-5055.685
95203	0.306505	0.956915	38.5243	31.3153	6.17607e-05	-175.6302	-4880.413	-5056.044
95204	0.306505	0.956915	38.5243	39.8796	6.17607e-05	-180.9735	-4876.504	-5057.477
95205	0.306505	0.956915	38.5243	39.8796	6.17607e-05	-180.9735	-4876.504	-5057.477
95206	0.306505	0.956915	38.5243	33.895	6.17607e-05	-176.9309	-4879.028	-5055.959
95207	0.301199	0.956915	38.5243	31.767	6.17607e-05	-175.8477	-4879.226	-5055.074
95208	0.301199	0.936991	38.5256	31.767	6.17607e-05	-168.6432	-4884.807	-5053.45
95209	0.301199	0.936991	38.5256	31.767	6.17607e-05	-168.6432	-4884.807	-5053.45
95210	0.301199	0.936991	39.4271	31.767	6.17607e-05	-168.4537	-4885.892	-5054.346
95211	0.301199	0.936991	39.4302	31.767	6.17607e-05	-168.453	-4885.889	-5054.342
95212	0.301199	0.936991	38.6101	31.767	6.17607e-05	-168.6251	-4884.821	-5053.446
95213	0.301199	0.929705	38.6101	31.767	0.00032447	-166.0305	-4889.297	-5055.327
95214	0.301199	0.929705	38.6101	26.8498	0.00032447	-164.1996	-4892.558	-5056.757
95215	0.301199	0.929705	38.6101	26.8498	0.00032447	-164.1996	-4892.558	-5056.757
95216	0.301199	0.929705	38.6101	26.8498	0.000172765	-164.1996	-4891.466	-5055.666
95217	0.301199	0.929705	38.6101	36.8177	0.000268372	-168.9179	-4886.553	-5055.471
95218	0.301199	0.948983	39.2552	28.3797	0.000268372	-171.4413	-4884.589	-5056.03
95219	0.301199	0.948983	39.2552	34.6498	0.000133524	-174.3292	-4880.085	-5054.415
95220	0.30251	0.948983	39.2552	34.6498	0.000133524	-174.327	-4880.108	-5054.435
95221	0.30251	0.948983	38.454	34.6498	6.2504e-05	-174.4964	-4879.953	-5054.449
95222	0.30251	0.919239	38.4453	34.6498	6.2504e-05	-163.8963	-4889.886	-5053.782
95223	0.30251	0.919239	38.4453	31.1139	6.2504e-05	-162.0744	-4891.638	-5053.712
95224	0.30251	0.947128	38.4453	33.4914	0.000205178	-173.1749	-4882.11	-5055.285
95225	0.30251	0.947128	39.4279	33.4914	0.000205178	-172.9679	-4881.921	-5054.889
95226	0.30251	0.947128	39.4279	33.4914	0.000205178	-172.9679	-4881.921	-5054.889
95227	0.30251	0.947128	39.4279	33.3063	0.000283685	-172.8687	-4882.595	-5055.464
95228	0.297708	0.947128	38.7332	28.765	0.000513833	-171.0175	-4886.637	-5057.654
95229	0.297708	0.947128	38.7332	28.765	0.000513833	-171.0175	-4886.637	-5057.654
95230	0.297708	0.947128	38.7332	28.765	0.000513833	-171.0175	-4886.637	-5057.654
95231	0.297708	0.947128	38.4495	28.765	0.000513833	-171.0783	-4886.809	-5057.887
95232	0.283778	0.947128	38.2219	28.765	0.000599677	-171.1514	-4890.143	-5061.294
95233	0.30481	0.947128	38.2219	28.765	0.000599677	-171.1155	-4888.547	-5059.662
95234	0.30481	0.947128	38.851	29.5283	0.000438513	-171.2598	-4885.888	-5057.148
95235	0.297871	0.947128	38.5253	29.5283	0.000438513	-171.3409	-4885.731	-5057.072
95236	0.297871	0.947128	38.8535	29.5283	0.000192728	-171.271	-4883.81	-5055.081
95237	0.297871	0.947128	40.0036	31.8158	0.000192728	-172.0109	-4884.282	-5056.293
95238	0.297871	0.98765	40.0036	31.8158	0.000192728	-186.9944	-4870.068	-5057.063
95239	0.297871	0.988632	40.0036	31.8158	0.000192728	-187.3655	-4869.82	-5057.185
95240	0.297871	0.988632	39.6048	31.8158	0.000192728	-187.4461	-4870.505	-5057.951
95241	0.297871	0.959339	39.6048	31.8158	7.28449e-05	-176.5376	-4877.817	-5054.355
95242	0.297871	0.956738	39.6048	31.8158	1.43337e-05	-175.5853	-4878.32	-5053.905
95243	0.297871	0.956738	40.2254	33.6438	9.31758e-05	-176.3915	-4879.038	-5055.429
95244	0.297871	0.956738	40.2254	33.6438	9.31758e-05	-176.3915	-4879.038	-5055.429
95245	0.297871	0.956738	40.2254	33.6438	4.85685e-05	-176.3915	-4878.731	-5055.122
95246	0.297871	0.954337	40.2254	33.6438	4.85685e-05	-175.5151	-4879.773	-5055.288
95247	0.297871	0.954337	40.468	33.6438	0.000543316	-175.4674	-4883.815	-5059.283
95248	0.297871	0.954337	38.562	33.6438	0.000543316	-175.8578	-4882.193	-5058.051
95249	0.297871	0.954337	39.4028	33.6438	0.000394997	-175.6811	-4880.74	-5056.421
95250	0.297871	0.957724	38.7122	33.6438	0.000128193	-177.0628	-4878.009	-5055.071
95251	0.297871	0.957724	38.7122	28.412	0.000170396	-174.755	-4881.348	-5056.103
95252	0.297871	0.957724	38.7122	28.412	0.000170396	-174.755	-4881.348	-5056.103
95253	0.297871	0.957724	38.7122	28.412	0.000170396	-174.755	-4881.348	-5056.103
95254	0.297871	0.957724	38.4141	28.412	0.000170396	-174.8189	-4881.837	-5056.655
95255	0.297871	0.957724	38.8304	41.5187	2.09272e-05	-182.5757	-4874.061	-5056.637
95256	0.297871	0.9596	39.2569	37.3068	2.09272e-05	-179.903	-4874.738	-5054.641
95257	0.297871	0.9596	39.2569	37.3068	0.000165133	-179.903	-4875.788	-5055.691
95258	0.297871	0.9596	39.2569	37.3068	0.000267205	-179.903	-4876.493	-5056.396
95259	0.297871	0.9596	39.2569	37.3068	0.000287601	-179.903	-4876.661	-5056.564
95260	0.291433	0.9596	39.2569	36.0821	0.000355164	-179.0961	-4878.426	-5057.523
95261	0.291433	0.9596	39.4938	36.0821	0.000355164	-179.0472	-4878.631	-5057.678
95262	0.303935	0.958371	40.2034	36.0821	9.26341e-05	-178.4328	-4876.803	-5055.236
95263	0.313642	0.958371	40.2034	32.4711	9.26341e-05	-176.3543	-4879.833	-5056.187
95264	0.313642	0.958371	39.6187	32.4711	9.26341e-05	-176.4718	-4879.862	-5056.334
95265	0.313642	0.958371	40.658	32.4711	9.26341e-05	-176.2653	-4880.467	-5056.733
95266	0.313642	0.958371	39.4661	32.4711	0.000294634	-176.503	-4881.529	-5058.032
95267	0.313642	0.93922	39.4661	32.4711	5.22391e-05	-169.5641	-4885.533	-5055.097
95268	0.313642	0.93922	39.4661	32.4711	5.22391e-05	-169.5641	-4885.533	-5055.097
95269	0.313642	0.93922	39.4661	32.4711	5.22391e-05	-169.5641	-4885.533	-5055.097
95270	0.313642	0.93922	39.4661	32.4711	0.000239466	-169.5641	-4886.856	-5056.42
95271	0.313642	0.93922	39.4661	32.4711	0.000239466	-169.5641	-4886.856	-5056.42
95272	0.301644	0.93922	37.9654	32.4711	8.14773e-05	-169.9038	-4884.379	-5054.283
95273	0.301644	0.939423	37.9654	32.4711	0.000145864	-169.9765	-4884.829	-5054.806
95274	0.301644	0.939423	37.9654	32.4711	0.000145864	-169.9765	-4884.829	-5054.806
95275	0.301644	0.939423	37.9654	32.4711	0.000145864	-169.9765	-4884.829	-5054.806
95276	0.301644	0.938585	37.9654	35.3628	0.000145864	-171.2859	-4883.644	-5054.93
95277	0.301644	0.942529	37.9654	34.3997	0.000264301	-172.1287	-4884.003	-5056.132
