"iter"	"Vehrc.1."	"Kehr.1."	"kfeces.1."	"kbile.1."	"kgutabs.1."	"LnPrior"	"LnData"	"LnPosterior"
95213	0.64603	0.079004	0.0420815	0.00692937	0.205664	7.332914	-174.2156	-166.8827
95214	0.64603	0.0818957	0.0672686	0.00692937	0.489318	6.90031	-174.8527	-167.9524
95215	0.64603	0.0818957	0.0618862	0.00692937	2.2819	8.786264	-174.92	-166.1337
95216	0.64603	0.0818957	0.0618862	0.00692937	2.2819	8.786264	-174.92	-166.1337
95217	0.649472	0.0797278	0.051827	0.00692937	2.05553	9.298547	-174.087	-164.7885
95218	0.657729	0.0772081	0.051827	0.0182613	2.67498	8.750582	-173.4679	-164.7173
95219	0.696004	0.0837718	0.051827	0.0263901	0.753561	8.528624	-172.3954	-163.8668
95220	0.696004	0.0837718	0.051827	0.0220759	0.753561	8.531477	-172.3434	-163.812
95221	0.696004	0.0837718	0.051827	0.0220759	0.818007	8.609728	-172.3551	-163.7454
95222	0.681494	0.0837718	0.051827	0.0220759	0.818007	8.738499	-172.669	-163.9305
95223	0.71033	0.0978738	0.0268276	0.00556034	0.597427	5.376778	-171.8814	-166.5046
95224	0.740037	0.0978738	0.0268276	0.00556034	3.00891	5.47956	-171.7732	-166.2936
95225	0.718835	0.0894196	0.0268276	0.00556034	1.08321	6.150982	-172.077	-165.926
95226	0.718835	0.0885685	0.0268276	0.0195004	0.714982	5.753311	-172.2356	-166.4823
95227	0.738349	0.104452	0.0257282	0.0195004	1.44126	4.877064	-171.5903	-166.7133
95228	0.759764	0.105845	0.0247925	0.0195004	0.983787	3.755065	-171.5218	-167.7667
95229	0.759958	0.105845	0.0575991	0.0195004	0.814859	6.454402	-171.4901	-165.0357
95230	0.763913	0.105845	0.0436307	0.0195004	0.549008	6.125831	-171.556	-165.4302
95231	0.763913	0.105245	0.0436307	0.0195004	3.13905	6.623112	-171.9516	-165.3285
95232	0.73481	0.105245	0.0400198	0.0195004	3.13905	6.762619	-171.8321	-165.0695
95233	0.732507	0.10265	0.0400198	0.00474552	1.33149	7.562383	-171.3661	-163.8038
95234	0.712413	0.0914638	0.0595935	0.00474552	2.25867	8.825734	-171.8326	-163.0069
95235	0.700707	0.0914638	0.0595935	0.00474552	0.879312	8.355962	-171.9651	-163.6091
95236	0.700707	0.0914638	0.0524188	0.00474552	0.69387	8.561866	-171.9556	-163.3937
95237	0.715052	0.0914638	0.0572794	0.00474552	2.15819	9.011893	-171.8409	-162.829
95238	0.727549	0.0914638	0.0554615	0.00474552	2.15819	8.976107	-172.1315	-163.1554
95239	0.727549	0.0914638	0.0554615	0.00474552	2.15819	8.976107	-172.1315	-163.1554
95240	0.697872	0.085187	0.0554615	0.00474552	3.36049	8.29254	-172.1437	-163.8512
95241	0.697872	0.0907346	0.0518612	0.00474552	2.51076	9.332516	-172.0787	-162.7462
95242	0.68529	0.0805736	0.0518612	0.00197543	1.82479	9.114033	-172.2849	-163.1708
95243	0.68529	0.0805736	0.0518612	0.00197543	3.05702	8.57074	-172.295	-163.7243
95244	0.68529	0.0805736	0.0518612	0.00197543	2.14269	9.119202	-172.288	-163.1688
95245	0.68529	0.0809325	0.0567162	0.00843348	2.14269	8.959105	-172.3985	-163.4394
95246	0.68529	0.0795472	0.0567162	0.00843348	2.14269	8.823898	-172.464	-163.6401
95247	0.70485	0.0795472	0.0567162	0.00585558	2.14269	8.632764	-173.0456	-164.4128
95248	0.70485	0.0850917	0.0567162	0.0427224	1.33784	8.824859	-172.698	-163.8731
95249	0.717704	0.0850917	0.0567162	0.0421032	1.59946	8.823003	-173.01	-164.187
95250	0.713821	0.0933237	0.0567162	0.0239219	1.11049	8.654754	-172.0563	-163.4015
95251	0.714459	0.0933237	0.0567162	0.0239219	2.26732	9.007344	-172.2032	-163.1959
95252	0.714459	0.0883895	0.0567162	0.0239219	1.87638	9.077701	-172.3795	-163.3018
95253	0.714459	0.092273	0.0567162	0.0123397	2.0161	9.068964	-171.946	-162.877
95254	0.714459	0.0847058	0.0432235	0.0123397	2.0161	8.950586	-172.6804	-163.7298
95255	0.70265	0.0847058	0.0624232	0.0123397	2.0161	8.536718	-172.3191	-163.7824
95256	0.70265	0.0925867	0.0624232	0.0123397	2.0161	8.643406	-172.1669	-163.5235
95257	0.706291	0.0786411	0.0328165	0.0123397	2.0161	7.289011	-173.3672	-166.0782
95258	0.706291	0.102661	0.0328165	0.0123397	2.49391	7.010719	-172.9168	-165.9061
95259	0.707226	0.0994104	0.0672237	0.0123397	2.49391	7.352604	-172.4484	-165.0958
95260	0.717933	0.0994104	0.0513205	0.000154935	2.50038	8.677236	-171.5692	-162.8919
95261	0.731844	0.100042	0.0567041	0.0261358	0.776805	7.630961	-171.713	-164.0821
95262	0.731844	0.0951491	0.0567041	0.0261358	0.776805	8.002614	-171.9395	-163.9369
95263	0.716368	0.0951491	0.0484157	0.0685199	0.776805	8.225876	-172.8125	-164.5866
95264	0.716368	0.0941587	0.0484157	0.081329	1.65788	8.851621	-173.5032	-164.6515
95265	0.721762	0.0882594	0.0484157	0.081329	1.22283	8.615256	-173.1658	-164.5505
95266	0.7031	0.0882594	0.027201	0.081329	1.20412	6.223932	-173.4904	-167.2664
95267	0.710909	0.0978518	0.027201	0.081329	0.935774	5.597677	-173.8535	-168.2559
95268	0.730853	0.0978518	0.027201	0.0727145	2.57907	5.831976	-173.296	-167.464
95269	0.730853	0.0907974	0.0297099	0.0727145	2.57907	6.677597	-173.5167	-166.8391
95270	0.708738	0.0951342	0.0297099	0.0727145	1.82698	6.966599	-173.8059	-166.8393
95271	0.684756	0.0951342	0.0353644	0.0510889	3.0249	7.817401	-175.317	-167.4996
95272	0.727376	0.0951342	0.0560501	0.0267115	2.81982	8.514467	-172.214	-163.6996
95273	0.727376	0.0879114	0.0560501	0.0267115	2.03657	8.959845	-172.9206	-163.9608
95274	0.727376	0.0879114	0.0507881	0.0229986	2.2134	9.12047	-172.9059	-163.7854
95275	0.732003	0.0893713	0.0507881	0.0229986	3.18183	8.404704	-172.9847	-164.58
95276	0.721324	0.0966492	0.0507881	0.0229986	3.18183	8.320887	-172.1341	-163.8132
95277	0.784921	0.0966492	0.0507881	0.0651353	3.18183	7.188617	-175.9974	-168.8087
95278	0.758156	0.0966492	0.0428296	0.0939995	3.18183	7.125129	-174.2831	-167.158
95279	0.758156	0.0966492	0.0428296	0.0939995	0.872466	7.187824	-173.1019	-165.9141
95280	0.758156	0.0966492	0.0428296	0.0926361	1.57142	7.747269	-173.5685	-165.8212
95281	0.694429	0.0804986	0.0544032	0.0926361	1.57142	8.481904	-173.8877	-165.4058
95282	0.70409	0.0804986	0.0544032	0.0926361	1.30003	8.232862	-173.6829	-165.45
95283	0.70409	0.0917045	0.0522874	0.0247787	2.43648	9.300626	-172.4615	-163.1608
95284	0.70409	0.0908615	0.0368687	0.0247787	3.02845	8.041848	-172.4965	-164.4547
95285	0.717923	0.0908615	0.0603012	0.00586889	3.02845	8.206056	-171.9665	-163.7604
95286	0.717923	0.0903819	0.0598609	0.00586889	3.02845	8.253426	-172.0106	-163.7571
95287	0.684571	0.0812719	0.0380227	0.0167653	1.50463	8.400796	-172.5243	-164.1235
95288	0.699469	0.077707	0.0380227	0.0167653	2.34124	7.953481	-173.2116	-165.2581
95289	0.699469	0.077707	0.0380227	0.0167653	0.671639	7.129431	-173.0306	-165.9012
