iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	LnPrior	LnData	LnPosterior
90129	0.687624	0.0723272	0.0543343	0.0463533	1.90417	7.881782e+00	-1.737934e+02	-1.659117e+02
90130	0.687624	0.0723609	0.0543343	0.0463533	1.95443	7.891288e+00	-1.737977e+02	-1.659064e+02
90131	0.687624	0.0719277	0.0543343	0.0463533	1.95443	7.813930e+00	-1.738717e+02	-1.660578e+02
90132	0.687624	0.0719277	0.0454714	0.0463533	1.95443	7.805322e+00	-1.738756e+02	-1.660702e+02
90133	0.687624	0.0719277	0.0454714	0.0463533	1.44768	7.653833e+00	-1.737470e+02	-1.660932e+02
90134	0.656309	0.0719277	0.0454714	0.0463533	1.61914	7.959194e+00	-1.737436e+02	-1.657844e+02
90135	0.656309	0.0719277	0.0380229	0.0463533	1.49208	7.288014e+00	-1.737191e+02	-1.664310e+02
90136	0.687109	0.0827851	0.0335199	0.00527949	1.59628	7.884035e+00	-1.722550e+02	-1.643709e+02
90137	0.687109	0.0827851	0.0335199	0.0478445	0.421247	6.675655e+00	-1.727490e+02	-1.660733e+02
90138	0.687109	0.0797964	0.0335199	0.0478445	0.393403	6.371010e+00	-1.726988e+02	-1.663277e+02
90139	0.687109	0.0879878	0.0302034	0.0478445	2.05045	7.559086e+00	-1.736433e+02	-1.660843e+02
90140	0.687109	0.0958548	0.0237598	0.0478445	2.05045	5.924725e+00	-1.749217e+02	-1.689970e+02
90141	0.742651	0.0958548	0.0505223	0.0478445	2.05045	8.728037e+00	-1.727063e+02	-1.639783e+02
90142	0.742651	0.101717	0.0505223	0.0478445	1.47638	8.077146e+00	-1.721660e+02	-1.640889e+02
90143	0.764067	0.101717	0.0505223	0.0478445	1.47638	7.748701e+00	-1.725695e+02	-1.648208e+02
90144	0.754801	0.101717	0.0505223	0.0284456	1.47638	7.951438e+00	-1.720119e+02	-1.640605e+02
90145	0.754801	0.0983332	0.060976	0.0284456	1.47638	7.689692e+00	-1.724828e+02	-1.647931e+02
