iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Tmc(1)	Kt(1)	LnPrior	LnData	LnPosterior
90122	0.383187	0.739802	7.89886	3.14984	0.930407	0.0052541	-1.671042e+02	-1.098102e+03	-1.265206e+03
90123	0.383981	0.739802	7.89886	3.14984	0.930407	0.0052541	-1.671029e+02	-1.098111e+03	-1.265214e+03
90124	0.383981	0.739802	7.89048	3.19326	0.919969	0.0052541	-1.670994e+02	-1.098365e+03	-1.265464e+03
90125	0.390793	0.753049	7.89048	3.13423	0.947442	0.00476791	-1.712727e+02	-1.093743e+03	-1.265016e+03
90126	0.377107	0.753049	8.26046	2.84821	0.947442	0.00368778	-1.723913e+02	-1.092808e+03	-1.265199e+03
90127	0.372319	0.753049	8.23648	2.84821	0.947442	0.00368778	-1.724002e+02	-1.092478e+03	-1.264878e+03
90128	0.372319	0.753933	8.38358	2.84821	0.947442	0.0017103	-1.745682e+02	-1.090906e+03	-1.265474e+03
90129	0.378298	0.753933	8.38358	2.84821	0.947442	0.0017103	-1.745585e+02	-1.091053e+03	-1.265612e+03
90130	0.378298	0.753933	8.38358	2.89318	0.931467	0.0017103	-1.745578e+02	-1.089978e+03	-1.264535e+03
90131	0.36533	0.767725	8.38358	2.8864	0.931467	0.0017103	-1.785410e+02	-1.084030e+03	-1.262571e+03
90132	0.36533	0.794217	8.38358	3.00279	0.95464	0.00221557	-1.858154e+02	-1.075811e+03	-1.261627e+03
90133	0.358774	0.794217	8.38358	3.09901	0.95464	0.00221557	-1.857994e+02	-1.076869e+03	-1.262668e+03
90134	0.358774	0.794217	8.38358	3.09901	0.95464	0.00221557	-1.857994e+02	-1.076869e+03	-1.262668e+03
90135	0.358774	0.801399	8.38358	3.11373	0.977884	0.00221557	-1.879461e+02	-1.075077e+03	-1.263023e+03
90136	0.358774	0.801399	8.38358	3.11373	0.977884	0.00221557	-1.879461e+02	-1.075077e+03	-1.263023e+03
90137	0.377171	0.801399	8.1968	3.11373	0.977884	0.00221557	-1.879252e+02	-1.074960e+03	-1.262885e+03
90138	0.377171	0.798442	8.39347	3.11373	0.962455	0.00221557	-1.870320e+02	-1.074684e+03	-1.261716e+03
90139	0.377171	0.814048	8.7199	3.11373	0.96426	0.00229595	-1.917006e+02	-1.071094e+03	-1.262794e+03
90140	0.377171	0.814048	8.7199	3.08828	0.964717	0.00229595	-1.917072e+02	-1.070999e+03	-1.262706e+03
90141	0.377171	0.814048	8.55972	2.94254	0.993824	0.00229595	-1.917337e+02	-1.071392e+03	-1.263125e+03
90142	0.363758	0.814048	8.66341	2.72158	0.993824	0.00217938	-1.919277e+02	-1.070912e+03	-1.262840e+03
