iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	Vehrc(1.1)	Kehr(1.1)	kfeces(1.1)	kbile(1.1)	kgutabs(1.1)	Vehrc(1.2)	Kehr(1.2)	kfeces(1.2)	kbile(1.2)	kgutabs(1.2)	LnPrior	LnData	LnPosterior
290111	1.20089	0.800987	3.18748	4.81118	0.585268	0.573425	0.0268926	0.00852209	0.187495	1.9949	0.00150409	2.20048	6.32731	8.30541	0.337358	-2.678557e+01	-3.899325e+03	-3.926111e+03
290112	1.67386	0.800987	2.66117	7.21256	0.998052	0.573425	0.0268926	0.00852209	0.187495	1.9949	0.00150409	0.637813	6.32731	8.30541	0.304202	-2.630790e+01	-3.899814e+03	-3.926121e+03
290113	1.67386	2.10275	4.37498	6.50408	1.05609	0.573425	0.0268926	0.0130515	0.304878	2.02036	0.00150409	2.56558	7.60873	6.81192	0.695371	-2.645174e+01	-3.901382e+03	-3.927834e+03
290114	1.6233	2.10275	3.35773	7.10902	1.05609	0.573425	0.0268926	0.0130515	0.304878	2.31294	0.00150409	2.9587	7.98664	6.81192	0.497006	-2.881347e+01	-3.901586e+03	-3.930400e+03
290115	1.57512	2.60635	2.55018	5.91028	1.26937	0.573425	0.0268926	0.0130515	0.156379	2.31294	0.00150409	2.9587	7.88709	8.85949	0.497006	-2.866571e+01	-3.900418e+03	-3.929083e+03
290116	1.95187	2.60635	0.593181	5.79715	1.26937	0.583238	0.0268926	0.0130515	0.156379	2.15415	0.00150409	2.96148	7.76106	8.85949	0.497006	-2.818771e+01	-3.899741e+03	-3.927929e+03
290117	1.82072	1.46538	0.218214	5.5653	1.26937	0.583238	0.0268926	0.0130515	0.156379	2.15415	0.00150409	5.01424	7.44624	8.85949	0.41377	-2.892549e+01	-3.899612e+03	-3.928537e+03
290118	1.2489	1.46538	2.1142	6.3069	1.26937	0.564349	0.0268926	0.0329717	0.156379	2.15415	0.00150409	4.49732	7.08677	10.679	0.261023	-2.989885e+01	-3.900153e+03	-3.930052e+03
290119	1.29938	1.24583	2.94402	6.00542	1.26937	0.564349	0.0268926	0.0329717	0.156379	2.15415	0.00150409	6.08171	6.37266	10.679	0.227533	-3.118382e+01	-3.900066e+03	-3.931250e+03
290120	1.29938	1.24583	4.56333	6.00542	1.65125	0.564349	0.0273225	0.0329717	0.140313	2.15415	0.00394172	6.08171	5.47409	8.99613	0.293171	-3.140360e+01	-3.899498e+03	-3.930902e+03
290121	1.29938	4.49279	6.26569	6.01813	1.65125	0.549029	0.0273225	0.00299233	0.140313	2.15415	0.0272108	4.6566	7.04845	9.4783	0.396556	-3.167856e+01	-3.901071e+03	-3.932750e+03
290122	1.81086	3.70662	5.54174	6.01813	1.72271	0.523514	0.0243686	0.0529463	0.0461419	2.3272	0.00873283	5.58557	5.00749	9.49436	0.613206	-3.053077e+01	-3.902081e+03	-3.932612e+03
