"iter"	"Krestbody_plasma.1."	"VmaxC.1."	"Km.1."	"QurineC.1."	"LnPrior"	"LnData"	"LnPosterior"
95306	0.25063	3.64893	137.528	27.9938	-54.09571	-4641.44	-4695.536
95307	0.258788	3.64893	137.528	27.9938	-54.0959	-4642.945	-4697.041
95308	0.258788	3.64893	136.332	27.1099	-52.37802	-4646.082	-4698.46
95309	0.258017	3.64893	138.761	27.1099	-54.26209	-4641.144	-4695.406
95310	0.245368	3.64893	138.761	27.1099	-54.2618	-4640.364	-4694.626
95311	0.2548	3.50747	138.761	30.8683	-58.09553	-4637.22	-4695.316
95312	0.2548	3.50747	138.761	28.937	-56.17182	-4638.321	-4694.493
95313	0.2548	3.50747	138.562	21.3418	-49.89689	-4644.703	-4694.599
95314	0.2548	3.50747	138.562	21.3418	-49.89689	-4644.703	-4694.599
95315	0.2548	3.50747	138.562	22.8431	-50.92334	-4643.077	-4694.001
95316	0.2548	3.50747	138.562	22.8431	-50.92334	-4643.077	-4694.001
95317	0.2548	3.60967	138.562	21.5853	-49.89268	-4644.733	-4694.626
95318	0.2548	3.60967	138.886	21.5853	-50.14703	-4644.341	-4694.488
95319	0.2548	3.60967	138.886	21.5853	-50.14703	-4644.341	-4694.488
95320	0.2548	3.60967	138.886	21.5853	-50.14703	-4644.341	-4694.488
95321	0.2548	3.60967	138.886	21.5853	-50.14703	-4644.341	-4694.488
95322	0.2548	3.60967	138.886	21.5853	-50.14703	-4644.341	-4694.488
95323	0.2548	3.60967	138.886	24.5938	-52.32391	-4641.312	-4693.636
95324	0.2548	3.60967	138.886	24.5938	-52.32391	-4641.312	-4693.636
95325	0.2548	3.60967	138.886	24.5938	-52.32391	-4641.312	-4693.636
95326	0.2548	3.60967	138.886	26.5444	-53.92882	-4639.748	-4693.677
95327	0.2548	3.60967	138.886	26.5444	-53.92882	-4639.748	-4693.677
95328	0.2548	3.60967	141.423	26.5444	-55.96311	-4637.579	-4693.542
95329	0.2548	3.60967	141.423	26.7592	-56.14913	-4637.44	-4693.589
95330	0.250253	3.60967	141.423	26.7592	-56.14902	-4637.671	-4693.82
95331	0.250253	3.60967	141.423	27.2527	-56.5834	-4637.286	-4693.87
95332	0.250253	3.60967	141.423	27.2527	-56.5834	-4637.286	-4693.87
95333	0.250253	3.60967	137.084	25.8132	-51.90413	-4642.352	-4694.256
95334	0.250253	3.50764	137.084	25.1433	-51.51973	-4641.828	-4693.347
95335	0.256972	3.54809	137.084	25.1433	-51.45442	-4642.14	-4693.594
95336	0.256972	3.54841	137.084	25.1433	-51.45392	-4642.132	-4693.586
95337	0.256972	3.54841	135.602	25.1433	-50.32279	-4644.034	-4694.357
95338	0.256972	3.54841	141.455	25.1433	-54.91906	-4639.61	-4694.529
95339	0.256972	3.65205	141.455	19.9823	-51.12757	-4644.579	-4695.706
95340	0.256972	3.65205	141.455	26.9819	-56.3022	-4637.597	-4693.899
95341	0.256972	3.65205	141.455	31.2603	-60.43018	-4634.975	-4695.405
95342	0.256972	3.65205	141.455	30.4578	-59.60015	-4635.391	-4694.991
95343	0.256972	3.65205	141.455	28.894	-58.05667	-4636.306	-4694.363
95344	0.250387	3.65205	141.455	28.894	-58.05652	-4636.103	-4694.159
