"iter"	"Krestbody_plasma.1."	"VmaxC.1."	"Km.1."	"QurineC.1."	"Tmc.1."	"Kt.1."	"LnPrior"	"LnData"	"LnPosterior"
95133	0.36032	0.796272	8.53956	3.03726	0.947668	0.00228089	-186.3662	-1076.036	-1262.403
95134	0.362762	0.785356	8.3182	3.03726	0.975449	0.00288396	-182.499	-1080.337	-1262.836
95135	0.390816	0.785356	8.3182	3.03726	0.975449	0.00288396	-182.4534	-1081.599	-1264.053
95136	0.390816	0.785356	8.3354	3.03726	0.975449	0.00325891	-182.0891	-1082.348	-1264.437
95137	0.385397	0.794397	8.05765	3.03726	0.975449	0.00325891	-184.8126	-1080.806	-1265.619
95138	0.385397	0.778553	8.05765	3.03726	0.975449	0.00101361	-182.2981	-1078.809	-1261.107
95139	0.385397	0.778553	8.05765	3.07199	0.975449	0.000933079	-182.3682	-1078.658	-1261.026
95140	0.379222	0.78014	8.05765	2.73031	0.975449	0.000933079	-182.9427	-1079.566	-1262.508
95141	0.378944	0.78014	8.05765	2.73031	0.975449	0.000933079	-182.9431	-1079.529	-1262.473
95142	0.378944	0.78014	8.05765	2.97782	0.977705	0.000933079	-182.8707	-1077.679	-1260.549
95143	0.362413	0.78014	8.15607	2.97782	0.987773	0.000933079	-182.8851	-1078.175	-1261.06
95144	0.371312	0.773775	7.81582	2.97782	0.987773	0.000933079	-181.0186	-1080.389	-1261.407
95145	0.371312	0.773775	7.81582	2.65322	0.987773	0.000933079	-181.1119	-1083.278	-1264.39
95146	0.346371	0.744761	7.85492	2.48679	0.987773	0.000933079	-172.8878	-1093.886	-1266.774
95147	0.362635	0.744761	7.85492	2.48679	0.987773	0.000933079	-172.861	-1092.74	-1265.601
95148	0.362635	0.744761	7.82082	2.70167	0.987773	0.000716359	-173.014	-1089.349	-1262.363
95149	0.362635	0.768148	7.82903	2.69778	0.987773	0.000716359	-179.6887	-1082.417	-1262.106
95150	0.362635	0.770842	8.10445	2.69778	0.987773	0.000716359	-180.4582	-1080.635	-1261.094
95151	0.360826	0.770842	8.10445	2.69778	0.991905	0.000716359	-180.458	-1080.769	-1261.227
95152	0.360826	0.770842	8.10445	2.69778	0.991905	0.000716359	-180.458	-1080.769	-1261.227
95153	0.366253	0.770842	8.10445	2.69778	0.991905	0.000716359	-180.4491	-1080.749	-1261.198
95154	0.357587	0.76454	8.10445	2.69774	0.950617	0.000716359	-178.6681	-1083.631	-1262.299
95155	0.357587	0.76454	8.09579	2.69774	0.950617	0.00138986	-178.0021	-1085.284	-1263.286
95156	0.360931	0.76454	8.09579	2.69774	1.00733	0.00138986	-177.9534	-1085.363	-1263.317
95157	0.359233	0.76454	7.77648	2.9484	1.00544	0.00138986	-177.9014	-1084.84	-1262.742
95158	0.359233	0.76454	7.77648	2.9484	0.968202	0.00138986	-177.9297	-1085.143	-1263.073
95159	0.382983	0.775158	8.17643	2.9484	0.968202	0.00138986	-180.9582	-1080.282	-1261.24
95160	0.398315	0.768326	8.03187	2.9484	0.968202	0.00100821	-179.3263	-1084.007	-1263.334
95161	0.40575	0.768326	8.03187	2.9484	0.968202	0.00100821	-179.3144	-1085.976	-1265.291
95162	0.40575	0.768326	8.33987	2.9484	0.935445	0.00100821	-179.3242	-1086.055	-1265.379
95163	0.40575	0.774114	8.23146	2.9484	0.935445	0.00100821	-181.0154	-1083.927	-1264.943
95164	0.393065	0.773369	8.21531	3.14985	0.952279	0.00110827	-180.6509	-1081.071	-1261.722
95165	0.393065	0.773369	8.22377	3.14985	0.952279	0.00110827	-180.6505	-1081.12	-1261.77
95166	0.390202	0.773369	8.23647	3.14985	0.957826	0.00110827	-180.6503	-1081.19	-1261.841
95167	0.390202	0.773369	8.23647	3.14985	0.922637	0.00121386	-180.5727	-1080.496	-1261.069
95168	0.387918	0.777656	8.23647	3.22061	0.922637	0.00121386	-181.8132	-1079.121	-1260.934
95169	0.390255	0.779533	8.23647	3.22061	0.922637	0.00121386	-182.362	-1078.837	-1261.199
95170	0.391554	0.779533	8.23647	3.22061	0.922637	0.00135242	-182.2231	-1079.261	-1261.484
95171	0.391554	0.789213	8.23647	3.43256	0.922637	0.00135242	-185.037	-1077.416	-1262.453
95172	0.391554	0.803752	8.49472	3.43256	0.922637	0.00135242	-189.4062	-1073.201	-1262.608
95173	0.379975	0.803752	8.49472	3.35953	0.922637	0.00135242	-189.4442	-1072.52	-1261.964
95174	0.385426	0.792489	8.54928	3.44454	0.922637	0.00135242	-186.0082	-1076.357	-1262.365
95175	0.376109	0.802102	8.54928	3.31486	0.922637	0.00135242	-188.9582	-1072.719	-1261.677
95176	0.376109	0.802102	8.53746	3.31486	0.922637	0.00229725	-188.0311	-1074.582	-1262.613
95177	0.376109	0.802102	8.53746	3.31486	0.922637	0.00229725	-188.0311	-1074.582	-1262.613
95178	0.384839	0.802102	8.53746	3.31486	0.908831	0.00260193	-187.7303	-1075.817	-1263.547
95179	0.384839	0.802102	8.53746	3.31486	0.908831	0.00260193	-187.7303	-1075.817	-1263.547
95180	0.384839	0.802102	8.50847	3.31486	0.908831	0.00260193	-187.7318	-1076.024	-1263.756
95181	0.384839	0.802102	8.50847	3.10376	0.908831	0.00260193	-187.7891	-1076.811	-1264.6
95182	0.384839	0.802102	8.51928	3.4082	0.908831	0.00260193	-187.7064	-1076.027	-1263.734
95183	0.388697	0.789668	8.28837	3.4082	0.908831	0.00260193	-183.9671	-1080.143	-1264.11
95184	0.388697	0.76807	8.20492	3.33771	0.908831	0.00260193	-177.6326	-1084.992	-1262.624
95185	0.388697	0.76807	8.20492	3.38155	0.908831	0.00226123	-177.9534	-1084.398	-1262.352
95186	0.388697	0.76807	8.36485	3.25091	0.906448	0.00226123	-177.9823	-1084.46	-1262.442
95187	0.402135	0.76807	8.36485	3.25091	0.906448	0.00180035	-178.4123	-1084.998	-1263.41
95188	0.402135	0.76807	8.18049	3.25091	0.922824	0.00180035	-178.4088	-1084.588	-1262.997
95189	0.402135	0.76807	8.18049	3.25091	0.932586	0.00180035	-178.4014	-1084.723	-1263.124
95190	0.402135	0.76807	8.18049	3.25091	0.932586	0.00180035	-178.4014	-1084.723	-1263.124
95191	0.402135	0.757864	8.18049	3.25091	0.932586	0.00295185	-174.3379	-1090.282	-1264.62
95192	0.37593	0.757864	8.32276	2.86737	0.932586	0.00295185	-174.4796	-1089.627	-1264.107
95193	0.384353	0.766716	8.22314	2.97673	0.932586	0.00295185	-176.9868	-1085.912	-1262.899
95194	0.384353	0.755884	8.22314	3.1623	0.932586	0.00885614	-168.2672	-1099.263	-1267.53
95195	0.391183	0.764433	8.28158	3.3041	0.932586	0.00885614	-170.6676	-1096.942	-1267.61
95196	0.391183	0.769327	8.44238	3.40723	0.904041	0.00475373	-175.8942	-1089.052	-1264.946
95197	0.391183	0.757575	8.15463	3.40723	0.904041	0.00305644	-174.1526	-1089.175	-1263.328
95198	0.391183	0.757575	8.15463	3.40723	0.890564	0.00305644	-174.1629	-1089.662	-1263.825
95199	0.377198	0.757575	8.15463	3.51956	0.943457	0.00305644	-174.1158	-1092.025	-1266.141
95200	0.381429	0.762785	8.15463	3.07111	0.943457	0.00361212	-175.1869	-1087.728	-1262.915
95201	0.381429	0.751112	8.15463	3.07111	0.927352	0.00109882	-174.3196	-1087.23	-1261.549
95202	0.381429	0.751112	8.15463	3.07111	0.927352	0.001385	-174.037	-1087.765	-1261.802
95203	0.381429	0.746961	8.15463	3.07111	0.927352	0.001385	-172.8647	-1089.585	-1262.449
95204	0.376553	0.775753	7.94218	3.07111	0.927352	0.001385	-181.156	-1082.688	-1263.844
95205	0.389688	0.767246	8.13407	3.03706	0.927352	0.001385	-178.6561	-1082.94	-1261.596
95206	0.387429	0.750901	8.00143	3.03706	0.927352	0.001385	-173.9844	-1087.478	-1261.462
95207	0.387429	0.748972	7.97008	3.22202	0.927352	0.001385	-173.3898	-1087.885	-1261.274
95208	0.389084	0.748972	7.97008	3.22202	0.923994	0.00127707	-173.4962	-1087.699	-1261.195
95209	0.389084	0.760077	7.97008	3.74547	0.923994	0.00105851	-176.7364	-1086.821	-1263.558
95210	0.389084	0.772139	8.011	3.74547	0.923994	0.0018305	-179.4622	-1084.946	-1264.408
95211	0.404048	0.78079	8.02507	3.45336	0.923994	0.0018305	-182.0504	-1083.256	-1265.306
95212	0.398063	0.765472	8.02507	3.22876	0.907682	0.0018305	-177.6586	-1086.1	-1263.758
95213	0.398063	0.739323	7.92809	3.21258	0.907682	0.0018305	-170.2478	-1092.685	-1262.933
95214	0.369339	0.752389	7.91947	3.21258	0.907682	0.00177398	-174.0237	-1089.628	-1263.652
95215	0.388019	0.752389	7.91947	3.38353	0.907682	0.00177398	-173.9475	-1088.434	-1262.382
95216	0.38984	0.752389	7.91947	3.38353	0.907682	0.00177398	-173.9446	-1088.449	-1262.394
95217	0.386807	0.74796	7.91947	3.38353	0.907682	0.00177398	-172.6965	-1089.579	-1262.275
95218	0.386807	0.761755	7.91947	3.38353	0.907682	0.00177398	-176.6246	-1086.636	-1263.261
95219	0.381633	0.761755	7.91947	3.38353	0.907682	0.00177398	-176.633	-1086.784	-1263.417
95220	0.381633	0.761755	8.2828	2.84694	0.949888	0.00177398	-176.7307	-1086.311	-1263.041
95221	0.382966	0.761755	8.2828	2.84694	0.949888	0.00177398	-176.7285	-1086.45	-1263.178
95222	0.379747	0.755833	8.2828	2.83561	0.949888	0.0011297	-175.6764	-1087.728	-1263.405
95223	0.380162	0.755833	8.31487	2.97052	0.862219	0.0011297	-175.7028	-1090.33	-1266.033
95224	0.380162	0.740943	8.28385	3.62232	0.862219	0.00238609	-170.0939	-1097.325	-1267.419
95225	0.380162	0.772813	8.3805	3.62232	0.862219	0.00176171	-179.801	-1085.632	-1265.433
95226	0.380162	0.772813	8.3805	3.40181	0.862219	0.00176171	-179.8582	-1085.174	-1265.032
95227	0.380162	0.772813	8.3805	3.40181	0.915256	0.00199445	-179.5893	-1083.078	-1262.667
95228	0.380162	0.772813	8.3805	3.40181	0.915256	0.00163483	-179.9424	-1082.484	-1262.426
95229	0.382015	0.779497	8.20262	3.37638	0.893437	0.00163483	-181.9316	-1081.708	-1263.639
95230	0.382015	0.779497	8.43963	3.37638	0.893437	0.00344869	-180.1522	-1083.875	-1264.027
95231	0.390897	0.779497	8.67168	3.37638	0.913879	0.00344869	-180.1109	-1085.328	-1265.439
95232	0.394923	0.786969	8.67168	3.37638	0.918653	0.00197929	-183.7428	-1080.587	-1264.329
95233	0.368673	0.786969	8.41496	3.37638	0.918653	0.00197929	-183.7979	-1079.328	-1263.126
95234	0.373531	0.786969	8.1541	3.24552	0.954996	0.00197929	-183.8101	-1078.239	-1262.049
95235	0.373531	0.784637	8.17546	2.99648	0.954996	0.00197929	-183.1848	-1078.283	-1261.467
95236	0.373531	0.784637	8.17546	2.99245	0.954996	0.00197929	-183.186	-1078.294	-1261.48
95237	0.378496	0.784637	8.17546	2.99245	0.954996	0.00197929	-183.1779	-1078.458	-1261.636
95238	0.378496	0.788317	8.17546	3.1049	0.954996	0.00197929	-184.2408	-1077.454	-1261.695
95239	0.378496	0.787358	8.17546	3.06913	0.939067	0.00197929	-183.9772	-1078.397	-1262.374
95240	0.378496	0.764506	8.13364	3.00921	0.939067	0.00197929	-177.2963	-1084.041	-1261.337
95241	0.378496	0.764506	8.13364	3.00921	0.939067	0.00197929	-177.2963	-1084.041	-1261.337
95242	0.378496	0.766237	8.01613	2.99098	0.939067	0.00197929	-177.8073	-1084.11	-1261.917
95243	0.3797	0.766237	8.13456	2.99098	0.939067	0.00197929	-177.7996	-1083.631	-1261.43
95244	0.375337	0.766237	8.13456	3.13859	0.945162	0.00141594	-178.3148	-1082.516	-1260.831
95245	0.375337	0.773773	8.13456	3.37838	0.952533	0.00141594	-180.4362	-1081.845	-1262.281
95246	0.366502	0.773773	7.77997	3.37838	0.952533	0.00171127	-180.1773	-1085.477	-1265.654
95247	0.391141	0.773773	7.79486	3.77778	0.986126	0.00171127	-180.0084	-1088.581	-1268.589
95248	0.391141	0.767769	7.79486	3.77778	0.986126	0.00171127	-178.2607	-1090.41	-1268.67
95249	0.391141	0.767769	7.79486	3.30893	0.986126	0.000705409	-179.3755	-1083.648	-1263.023
95250	0.391141	0.767769	8.0964	2.96106	0.971748	0.000705409	-179.4671	-1082.375	-1261.842
95251	0.377724	0.767769	7.73931	2.96106	0.971748	0.000705409	-179.5064	-1082.287	-1261.793
95252	0.377724	0.767769	7.73931	3.25987	0.971748	0.000705409	-179.424	-1082.467	-1261.891
95253	0.377724	0.767769	7.90589	3.12315	0.992787	0.000705409	-179.4371	-1082.046	-1261.484
95254	0.377724	0.781726	7.90589	3.12315	0.992787	0.000705409	-183.5221	-1078.01	-1261.532
95255	0.377724	0.789959	7.90589	3.12315	0.992787	0.000705409	-185.9686	-1076.377	-1262.345
95256	0.377724	0.789959	7.96552	3.12315	0.971975	0.000705409	-185.9815	-1075.813	-1261.794
95257	0.377724	0.757959	7.7348	3.20028	0.971975	0.000705409	-176.6154	-1084.504	-1261.119
95258	0.357291	0.757959	7.7348	3.20028	0.979262	0.000705409	-176.6432	-1087.132	-1263.775
95259	0.391466	0.757959	7.7348	3.01994	0.979262	0.000705409	-176.6374	-1085.375	-1262.013
95260	0.379818	0.763444	7.7348	2.95521	0.979262	0.000798591	-178.1566	-1083.272	-1261.428
95261	0.379818	0.738016	7.7348	2.95521	0.962054	0.000798591	-170.9712	-1090.18	-1261.151
95262	0.379818	0.737847	7.7348	2.95521	0.962054	0.000798591	-170.9241	-1090.245	-1261.169
95263	0.379818	0.736407	7.7348	2.96698	0.962054	0.000905397	-170.415	-1091.008	-1261.423
