iter	Krestbody_plasma(1)	Tmc(1)	Kt(1)	Trc(1)	VmaxC(1)	Km(1)	QurineC(1)	LnPrior	LnData	LnPosterior
90176	0.390489	8.53255	0.0674908	1.32435	0.45168	5.34353	13.0954	-8.037374e+01	-3.735096e+02	-4.538833e+02
90177	0.390489	8.28209	0.0674908	1.32435	0.453489	5.34353	13.0954	-7.906534e+01	-3.732561e+02	-4.523214e+02
90178	0.390489	8.35802	0.0674908	1.34097	0.444826	5.34353	13.0954	-7.813626e+01	-3.742498e+02	-4.523861e+02
90179	0.420325	8.32648	0.0674908	1.34097	0.444826	5.34353	9.74165	-7.707532e+01	-3.729547e+02	-4.500300e+02
90180	0.417724	8.32648	0.0674908	1.34097	0.444826	5.34353	9.74165	-7.707527e+01	-3.729180e+02	-4.499932e+02
90181	0.417724	8.32648	0.0674908	1.36764	0.444826	5.34353	10.364	-7.719871e+01	-3.726368e+02	-4.498355e+02
90182	0.417724	8.32648	0.0674908	1.36764	0.454556	5.34353	6.96769	-7.828363e+01	-3.767127e+02	-4.549964e+02
90183	0.417724	8.36048	0.0674908	1.36764	0.450043	5.34353	6.96769	-7.776034e+01	-3.759926e+02	-4.537529e+02
90184	0.417724	8.57021	0.0647936	1.40261	0.450043	5.34353	6.96769	-7.930612e+01	-3.737500e+02	-4.530561e+02
90185	0.417724	8.71801	0.0647936	1.40261	0.4495	5.32271	15.4562	-8.232044e+01	-3.682598e+02	-4.505803e+02
90186	0.417724	8.71801	0.0647936	1.40261	0.456998	5.29679	15.4562	-8.356501e+01	-3.675572e+02	-4.511222e+02
90187	0.417724	8.71801	0.057368	1.42318	0.456998	5.81328	15.4562	-8.415511e+01	-3.687790e+02	-4.529341e+02
90188	0.42766	8.71801	0.057368	1.43031	0.456998	5.82859	15.4562	-8.414642e+01	-3.687118e+02	-4.528582e+02
90189	0.42766	8.71801	0.0651574	1.43031	0.469382	5.82859	15.4562	-8.532535e+01	-3.643538e+02	-4.496791e+02
